question_raw,answer_raw,question
Peut-on continuer à manger du poisson ?,"Oui, mais éviter poissons riches en mercure (espadon, thon, anguille, lotte, etc.). Demander conseil au médecin.",on continuer manger poisson
Quand commencer des vêtements de grossesse ?,Pas encore obligatoire à 13 SA ; prévoir soutien-gorge de maintien à bretelles réglables au besoin.,commencer vetement grossesse
Que fait le bébé à 14 semaines (16 SA) ?,"Développement du toucher, ouverture/grimaces, jambes plus longues, thyroïde active ; bébé plus actif.",bebe 14 semaine 16
Est-il sûr de voyager au 4ᵉ/5ᵉ mois ?,"En général oui : bien s’hydrater, faire des pauses toutes les 2 h, éviter longues immobilisations ; avion possible jusqu’au 7ᵉ mois selon avis médical.",il voyager mois
Que ressent le bébé à 15 semaines (17 SA) ?,L’odorat commence à se développer via le liquide amniotique ; mouvements thoraco-respiratoires irréguliers.,ressentir bebe 15 semaine 17
Comment soulager la constipation pendant la grossesse ?,"Boire beaucoup d’eau, fibres (fruits, légumes, pain/céréales complètes), fruits secs (ex. pruneaux); consulter si persistance.",soulager constipation grossesse
Les rapports sexuels sont-ils sûrs pendant la grossesse ?,"Oui, sauf contre-indication médicale. Adapter selon confort et envies.",rapport sexuel il sur grossesse
Que se passe-t-il à 16 semaines (18 SA) ?,Rétines commencent à fonctionner ; mouvements perceptibles bientôt ; vitamine A utile en quantité normale (éviter supplément excessif).,passer -t il 16 semaine 18
Pourquoi suivre un cours de préparation à l’accouchement ?,"Pour apprendre gestion douleur, respiration, positions, rencontrer d’autres parents et réduire l’incertitude.",cours preparation accouchement
Que se passe à 18 semaines (20 SA) ?,"Fort développement neuronal (milliards de fibres), cœur audible au stéthoscope, ongles/empreintes digitales se forment.",passer 18 semaine 20
Comment améliorer le transit à mi-grossesse ?,"Régime riche en fibres, hydratation (≈2 L/j), fruits, céréales complètes ; consulter si nécessaire.",ameliorer transit mi-grossesse
Quels conseils pour l’intolérance au lactose ?,"Fromage/yaourt souvent tolérés ; lait sans lactose disponible ; végétaux (légumes verts, haricots) apportent du calcium.",conseil intolerance lactose
Que remarque-t-on à 19 semaines (21 SA) ?,Bébé très actif mais dort beaucoup ; moment opportun pour discuter du lieu d’accouchement ; varier viande/poisson (120–150 g/j).,remarqu -t on 19 semaine 21
Le chat et la toxoplasmose : précautions ?,Ne pas gérer la litière si possible ; se laver les mains après contact animal ; les précautions réduisent le risque.,chat toxoplasmose precautions
Que se passe à 24–25 semaines (26–27 SA) ?,"Sens sensoriels renforcés (goût/odeur), bébé réagit aux bruits ; importance du fer et du repos ; gonflements possibles → surélever pieds/ marcher.",passer 24 25 semaine 26 27
Et à 26–28 semaines (28 SA) ?,"Prise de poids importante (~900 g à 26 SA), peau moins ridée, poumons encore immatures ; surveillance des mouvements et du sommeil maternel.",26 28 semaine 28
À quoi faire attention vers 27–30 semaines ?,"Poumons en maturation (surfactant manquant avant ~35 SA), fausses contractions (Braxton-Hicks) fréquentes : repos et consultation si régulières/fortes.",faire attention 27 30 semaine
Que prévoir pour la fin du 3ᵉ trimestre (32–34 SA) ?,"Ossature consolidée, surveillance bi-hebdomadaire, préparer matériel bébé (vêtements, gigoteuse, siège auto) et plan post-partum.",prevoir fin trimestre 32 34
Que se passe-t-il à 34 semaines (36 SA) ?,"Bébé se positionne (descente possible), bassin maternel se relâche → tensions ligamentaires ; essoufflement fréquent ; privilégier petit-déjeuner riche en glucides complexes.",passer -t il 34 semaine 36
Pourquoi manger des glucides complexes ?,"Ils répartissent l'énergie sur la journée (pain, pâtes, riz, légumineuses) ; limiter sucreries pour éviter pics glycémiques.",manger glucide complexe
Que faire si je suis essoufflée ?,"C’est courant (diaphragme comprimé). Trouver des positions qui ouvrent les poumons, se reposer, respirer calmement ; bébé redescendra avant l'accouchement.",faire essouffle
Et à 35 semaines (37 SA) : poumons/oméga-3/allaitement ?,"Poumons généralement matures (surfactant présent). Oméga-3 importants pour le cerveau (saumon, sardines, graines). L’allaitement est naturel mais aide si premières difficultés ; biberon reste une option fiable.",35 semaine 37 poumon omega-3 allaitement
Comment intégrer des oméga-3 ?,"Petits poissons gras (sardines, maquereau), graines de lin, noix, huile de colza ; éviter poissons gros prédateurs à cause du mercure.",integrer omega-3
Que se passe à 36 semaines (38 SA) ?,"Bébé dodu, commence à vivre avec des intervalles entre repas ; fatigue accrue pour la mère → demander/de légers services et respecter du repos.",passer 36 semaine 38
Quels aliments aident le bien-être late-term ?,"Légumes, fruits frais, poisson, glucides de qualité ; magnésium (certaines eaux, graines), vitamine B6 (bananes, levure, noix).",aliment aider bien-etre late term
Choix du prénom : comment s'organiser ?,"Faire des listes séparées, comparer, éviter de trop consulter l’entourage si cela stresse ; décision à deux.",choix prenom organiser
À 37 semaines (39 SA) : mouvements/peau du bébé ?,Moins de place → moins de grands mouvements ; lanugo et vernix disparaissent ; fausses contractions fréquentes (Braxton-Hicks).,37 semaine 39 mouvement peau bebe
Comment différencier fausses et vraies contractions ?,"Bras : Braxton-Hicks = irrégulières, s'arrêtent au repos/bain ; vraies = régulières, s'intensifient, intervalles <10 min → aller à la maternité.",differencier faux vraie contraction
"Café, thé, alcool : limites ?",Limiter caféine ≈ 300 mg/j (≈2 tasses) ; éviter alcool pendant allaitement ; limiter consommation pendant grossesse.,cafe the alcool limite
Le conjoint doit-il être présent à l’accouchement ?,"C’est un choix personnel : discuter ensemble, décider selon confort et attentes.",conjoint il preser accouchement
À 38–39 semaines : préparation à l’accouchement,"Poumons prêts, monitoring en salle d’accouchement, discussion péridurale possible, options césarienne si nécessaire ; peau-à-peau recommandé après naissance.",38 39 semaine preparation accouchement
Césarienne : à savoir,Pratique courante pour indications médicales ; souvent sous anesthésie (péridurale) permettant d’être éveillée ; conjoint souvent présent.,cesarienn savoir
Statistiques et signes clairs du terme,"À terme moyen longueur ≈ 52 cm, poids 2,6–4 kg ; signes d’accouchement = pertes, contractions régulières, perte du bouchon muqueux, nausées si début.",statistique signe clair terme
Après le terme (40+ semaines) : quoi faire ?,"Beaucoup de bébés naissent après la date prévue ; dépassement max ≈ 14 jours puis induction possible ; rester calme, suivi médical régulier.",terme 40 semaine faire
Avantages du peau-à-peau immédiat,"Favorise liaison parent-bébé, aide la mise en route de la tétée et la régulation thermique du nouveau-né.",avantage peau peau immediat
Conseils voyage & contre-indications,"Éviter longs voyages 1er et 3e trimestre ; toujours consulter son médecin ; en voiture attacher la ceinture bas sur le pelvis, garder eau et collations ; airbag activé.",conseil voyag contre-indication
Choisir la maternité : critères,"Proximité, taux de césariennes/péridurales, options (chambre individuelle, baby-friendly), durée de séjour, couvertures d’assurance.",choisir maternite critere
"Garde-robe, accessoires et valise maternité","Privilégier confort (matières douces, tailles évolutives), soutien-gorge adapté, chaussures stables, préparer valise maternité (vêtements, documents, produits de toilette, couches, siège auto).",garde-rob accessoire valis maternite
Quels signes annoncent le début du travail et quand partir à la maternité ?,"Fatigue inhabituelle, expulsion du bouchon muqueux, contractions régulières (~toutes les 10 min, ~1 min) ou perte des eaux : si l’un de ces signes survient, se rendre à la maternité pour bilan (TA, température, dilatation, monitoring).",signe annoncer debut travail partir maternite
Que se passe-t-il à l’arrivée en maternité et quelles sont les étapes du travail ?,"Accueil et bilan (TA, température, dilatation, position fœtale), monitoring, progression des contractions, dilatation, phase d’expulsion (pousser), naissance, expulsion du placenta ; péridurale et instruments possibles si besoin.",passer -t il arrivee maternite etape travail
Dois-je rester abstinente pendant la grossesse ?,"Non si grossesse normale ; rapports possibles et bénéfiques. L’abstinence peut être prescrite en cas de complications (col dilaté, risque de prématurité, saignement…).",devoir je rester abstinent grossesse
Mon désir sexuel disparaîtra-t-il pendant la grossesse ?,"Pas obligatoirement : le désir varie (souvent réduit 1er trimestre, parfois augmenté 2e). C’est individuel ; communiquer avec le partenaire.",desir sexuel disparaitra -t il grossesse
Un gros ventre empêche-t-il les relations sexuelles ?,Parfois inconfortable en fin de grossesse ; il existe des positions alternatives et d’autres formes d’intimité.,gros ventr empeche -t il relation sexuel
Le bébé peut-il être touché ou blessé pendant les rapports ?,Non : bébé est protégé par le placenta et le liquide amniotique ; les rapports n’atteignent pas le fœtus.,bebe il touch blesse rapport
L’orgasme peut-il déclencher des contractions ou provoquer un travail prématuré ?,"L’orgasme provoque des contractions temporaires, mais en grossesse normale il n’entraîne pas d’accouchement prématuré. En cas de risque, suivre l’avis médical.",orgasme il declencher contraction provoquer travail prematur
Comment se déroule un accouchement par voie basse et quand faire une césarienne ?,"Généralement tête en bas : contractions → dilatation → expulsion. Césarienne envisagée si position non favorable, risque fœtal/maternel ou sur décision médicale ; induction possible si besoin.",deroule accouchement voie bas faire cesarienne
Quelles particularités pour un accouchement de jumeaux ?,Grossesses gémellaires plus tôt (≈37–38 sem.). Voie d’accouchement décidée selon position et risques ; césarienne fréquente (~50 %) selon situation.,particularite accouchement jumeau
